time_seconds,current_time,x,y
38.021907,2024-05-27T21:24:44.882Z,727,782
38.038561,2024-05-27T21:24:44.882Z,727,804
38.055217,2024-05-27T21:24:44.882Z,715,809
38.071872,2024-05-27T21:24:44.882Z,701,796
38.088526,2024-05-27T21:24:44.882Z,704,804
38.105181,2024-05-27T21:24:44.882Z,711,821
38.121836,2024-05-27T21:24:44.882Z,710,820
38.13849,2024-05-27T21:24:44.882Z,707,827
38.155146,2024-05-27T21:24:44.882Z,707,826
38.171801,2024-05-27T21:24:44.882Z,705,827
38.188456,2024-05-27T21:24:44.882Z,702,832
38.20511,2024-05-27T21:24:44.882Z,703,834
38.221765,2024-05-27T21:24:44.882Z,704,833
38.23842,2024-05-27T21:24:44.882Z,705,827
38.255074,2024-05-27T21:24:44.882Z,707,826
38.271729,2024-05-27T21:24:44.882Z,707,829
38.288384,2024-05-27T21:24:44.882Z,703,830
38.305039,2024-05-27T21:24:44.882Z,704,828
38.321694,2024-05-27T21:24:44.882Z,706,828
38.338349,2024-05-27T21:24:44.882Z,700,828
38.355003,2024-05-27T21:24:44.882Z,702,828
38.371658,2024-05-27T21:24:44.882Z,703,829
38.388314,2024-05-27T21:24:44.882Z,701,829
38.404968,2024-05-27T21:24:44.882Z,699,831
38.421623,2024-05-27T21:24:44.882Z,701,828
38.438278,2024-05-27T21:24:44.882Z,706,832
38.454933,2024-05-27T21:24:44.882Z,735,801
38.471587,2024-05-27T21:24:44.882Z,784,722
38.488242,2024-05-27T21:24:44.882Z,925,512
38.504897,2024-05-27T21:24:44.882Z,926,505
38.521551,2024-05-27T21:24:44.882Z,921,507
38.538206,2024-05-27T21:24:44.882Z,923,506
38.554861,2024-05-27T21:24:44.882Z,927,510
38.571516,2024-05-27T21:24:44.882Z,924,507
38.588171,2024-05-27T21:24:44.882Z,922,508
38.604827,2024-05-27T21:24:44.882Z,926,507
38.621481,2024-05-27T21:24:44.882Z,923,503
38.638136,2024-05-27T21:24:44.882Z,920,507
38.654791,2024-05-27T21:24:44.882Z,920,508
38.671445,2024-05-27T21:24:44.882Z,928,509
38.6881,2024-05-27T21:24:44.882Z,929,510
38.704755,2024-05-27T21:24:44.882Z,921,508
38.72141,2024-05-27T21:24:44.882Z,916,506
38.738064,2024-05-27T21:24:44.882Z,919,507
38.754719,2024-05-27T21:24:44.882Z,923,507
38.771374,2024-05-27T21:24:44.882Z,920,504
38.788028,2024-05-27T21:24:44.882Z,918,504
38.804684,2024-05-27T21:24:44.882Z,955,486
38.821339,2024-05-27T21:24:44.882Z,982,494
38.837994,2024-05-27T21:24:44.882Z,1029,433
38.854649,2024-05-27T21:24:44.882Z,1032,423
38.871304,2024-05-27T21:24:44.882Z,1032,416
38.887958,2024-05-27T21:24:44.882Z,1032,415
38.904613,2024-05-27T21:24:44.882Z,1033,418
38.921268,2024-05-27T21:24:44.882Z,1033,420
38.937922,2024-05-27T21:24:44.882Z,1028,417
38.954577,2024-05-27T21:24:44.882Z,1029,417
38.971232,2024-05-27T21:24:44.882Z,1027,421
38.987887,2024-05-27T21:24:44.882Z,1027,420
39.004541,2024-05-27T21:24:45.882Z,1028,421
39.021196,2024-05-27T21:24:45.882Z,1026,421
39.037851,2024-05-27T21:24:45.882Z,1027,416
39.054505,2024-05-27T21:24:45.882Z,1030,417
39.07116,2024-05-27T21:24:45.882Z,1027,411
39.087816,2024-05-27T21:24:45.882Z,1023,409
39.10447,2024-05-27T21:24:45.882Z,1014,407
39.121125,2024-05-27T21:24:45.882Z,981,366
39.13778,2024-05-27T21:24:45.882Z,878,370
39.154434,2024-05-27T21:24:45.882Z,715,387
39.171089,2024-05-27T21:24:45.882Z,713,393
39.187744,2024-05-27T21:24:45.882Z,713,389
39.204398,2024-05-27T21:24:45.882Z,718,396
39.221053,2024-05-27T21:24:45.882Z,714,393
39.237708,2024-05-27T21:24:45.882Z,713,383
39.254363,2024-05-27T21:24:45.882Z,718,384
39.271017,2024-05-27T21:24:45.882Z,716,381
39.287672,2024-05-27T21:24:45.882Z,715,381
39.304327,2024-05-27T21:24:45.882Z,711,387
39.320981,2024-05-27T21:24:45.882Z,710,386
39.337636,2024-05-27T21:24:45.882Z,715,385
39.354292,2024-05-27T21:24:45.882Z,718,387
39.370946,2024-05-27T21:24:45.882Z,718,386
39.387601,2024-05-27T21:24:45.882Z,712,386
39.404256,2024-05-27T21:24:45.882Z,733,348
39.42091,2024-05-27T21:24:45.882Z,738,349
39.437565,2024-05-27T21:24:45.882Z,715,387
39.45422,2024-05-27T21:24:45.882Z,717,386
39.470874,2024-05-27T21:24:45.882Z,720,386
39.487529,2024-05-27T21:24:45.882Z,723,386
39.504184,2024-05-27T21:24:45.882Z,758,373
39.520839,2024-05-27T21:24:45.882Z,965,397
39.537493,2024-05-27T21:24:45.882Z,1093,403
39.554148,2024-05-27T21:24:45.882Z,1116,400
39.570803,2024-05-27T21:24:45.882Z,1116,395
39.587457,2024-05-27T21:24:45.882Z,1112,395
39.604112,2024-05-27T21:24:45.882Z,1107,400
39.620768,2024-05-27T21:24:45.882Z,1109,401
39.637422,2024-05-27T21:24:45.882Z,1106,403
39.654077,2024-05-27T21:24:45.882Z,1107,404
39.670732,2024-05-27T21:24:45.882Z,1107,410
39.687386,2024-05-27T21:24:45.882Z,1105,411
39.704041,2024-05-27T21:24:45.882Z,1103,404
39.720696,2024-05-27T21:24:45.882Z,1103,404
39.73735,2024-05-27T21:24:45.882Z,1101,421
39.754005,2024-05-27T21:24:45.882Z,1101,421
39.77066,2024-05-27T21:24:45.882Z,1025,462
39.787315,2024-05-27T21:24:45.882Z,970,480
39.803969,2024-05-27T21:24:45.882Z,927,534
39.820624,2024-05-27T21:24:45.882Z,926,544
39.837279,2024-05-27T21:24:45.882Z,921,547
39.853933,2024-05-27T21:24:45.882Z,921,550
